,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
388,vanavara,99,RU,1603251296,95,60.34,102.28,28.71,5.95
389,mango,1,US,1603251233,83,27.98,-82.31,78.01,11.97
390,isangel,75,VU,1603251297,62,-19.55,169.27,84.2,9.17
391,salamiyah,0,SY,1603251297,58,35.01,37.05,58.69,2.44
392,carauari,45,BR,1603251141,91,-4.88,-66.9,74.52,1.9
393,panaba,0,MX,1603251297,93,21.28,-88.27,75.25,3.76
394,osinki,10,RU,1603251297,91,52.84,49.51,33.69,9.46
395,itambacuri,100,BR,1603251297,92,-18.03,-41.69,68.52,2.95
396,zambezi,0,ZM,1603251297,30,-13.54,23.1,62.74,3.47
397,zhigansk,100,RU,1603251111,96,66.77,123.37,19.63,0.92
398,khandyga,100,RU,1603251298,88,62.67,135.6,20.03,5.14
399,kosh-agach,48,RU,1603251298,63,50.0,88.67,37.35,1.83
400,prainha,86,BR,1603251298,71,-1.8,-53.48,79.21,3.8
401,pontianak,57,ID,1603251298,56,-0.03,109.33,91.22,5.64
402,jerico,75,CO,1603251298,100,5.79,-75.79,59.0,3.36
403,perez,100,AR,1603251298,66,-33.0,-60.77,55.99,18.34
404,kirkland lake,75,US,1603251001,71,47.68,-122.21,53.6,3.78
405,inndyr,77,NO,1603251299,55,67.03,14.03,35.6,27.51
406,vysokogornyy,100,RU,1603251299,51,50.12,139.15,47.97,3.62
407,asyut,0,EG,1603251299,68,27.18,31.18,68.0,8.05
408,ivankiv,100,UA,1603251299,100,50.94,29.89,37.4,6.71
409,macae,10,BR,1603251299,90,-22.37,-41.79,69.33,10.04
410,urozhaynoye,13,RU,1603251299,66,44.79,44.92,45.84,8.5
411,alta floresta,36,NO,1603251299,85,69.97,23.27,24.8,10.29
412,makakilo city,40,US,1603251299,74,21.35,-158.09,82.4,8.05
413,benguela,90,AO,1603251299,83,-12.58,13.41,73.2,4.03
414,hasilpur,0,PK,1603251299,14,29.71,72.56,84.02,8.16
415,bambanglipuro,43,ID,1603251299,76,-7.95,110.28,83.1,10.58
416,vuktyl,99,RU,1603251299,99,63.86,57.31,28.13,4.25
417,abha,0,SA,1603251300,25,18.22,42.51,53.6,5.82
418,morden,90,CA,1603251300,100,49.19,-98.1,30.2,4.7
419,suda,75,RU,1603251300,86,59.15,37.56,30.2,6.71
420,dubbo,40,AU,1603251214,36,-32.25,148.62,80.6,9.17
421,valparaiso,0,CL,1603251300,100,-33.04,-71.63,50.0,8.05
422,lincoln,1,US,1603251002,81,40.8,-96.67,42.8,5.73
423,bur gabo,100,DK,1603251300,96,56.37,8.43,55.0,11.21
424,kyaikkami,100,MM,1603251300,80,16.08,97.57,78.64,5.55
425,casma,0,CL,1603251300,86,-41.01,-73.12,39.2,5.82
426,sale,75,MA,1603251300,88,34.04,-6.82,69.01,10.29
427,graham,90,US,1603251300,87,47.05,-122.29,52.0,4.47
428,lorengau,97,PG,1603251300,61,-2.02,147.27,86.31,3.2
429,gorontalo,54,ID,1603251123,50,0.54,123.06,89.24,8.59
430,casablanca,14,MA,1603251129,100,33.59,-7.62,66.2,9.17
431,dalvik,40,IS,1603251301,92,65.97,-18.53,24.8,4.7
432,manali,75,IN,1603251301,79,13.17,80.27,84.2,5.82
433,flinders,40,AU,1603251301,47,-34.58,150.86,82.0,14.99
434,arlit,0,NE,1603251212,14,18.74,7.39,83.86,6.46
435,ardesen,75,TR,1603251301,93,41.19,40.99,60.8,8.05
436,christchurch,22,NZ,1603251035,55,-43.53,172.63,63.0,8.05
437,sao gabriel da cachoeira,0,IN,1603251268,71,20.51,76.21,79.72,3.44
438,brvenica,0,MK,1603251301,93,41.97,20.98,35.6,2.51
439,ahuimanu,90,US,1603251302,94,21.44,-157.84,82.4,9.17
440,fukuma,97,JP,1603251302,44,33.77,130.47,77.0,5.82
441,orlik,40,RU,1603251302,84,52.52,99.83,24.91,3.62
442,kruisfontein,0,ZA,1603251302,88,-34.0,24.73,48.52,5.44
443,sao filipe,0,IN,1603251302,71,20.51,76.21,79.72,3.44
444,sao miguel do araguaia,0,IN,1603251302,71,20.51,76.21,79.72,3.44
445,kenai,1,US,1603251302,69,60.55,-151.26,42.8,5.66
446,kokuy,11,RU,1603251303,75,52.2,117.55,34.63,11.36
447,batagay-alyta,92,RU,1603251303,89,67.8,130.41,12.27,1.9
448,haines junction,20,US,1603251187,40,59.23,-135.44,37.4,6.93
449,perpignan,75,FR,1603251303,88,42.75,2.75,64.4,19.46
450,ueno,20,JP,1603251303,56,34.75,136.13,73.4,9.17
451,barinas,79,VE,1603251303,88,8.62,-70.21,74.35,3.13
452,varzea da palma,11,PT,1603251303,95,39.52,-8.33,59.0,1.99
453,ambulu,9,ID,1603251047,68,-8.35,113.61,85.93,9.19
454,herne bay,100,DE,1603251303,93,51.55,7.22,55.0,1.01
455,pemba,20,MZ,1603251303,94,-12.97,40.52,73.4,5.82
456,sisimiut,100,GL,1603251304,97,66.94,-53.67,32.2,26.31
457,kotelnikovo,2,RU,1603251184,72,47.63,43.15,42.44,7.87
458,malatya,0,TR,1603251304,93,38.5,38.0,44.6,5.82
459,vardo,75,NO,1603251202,77,70.37,31.11,32.0,10.29
460,whitehaven,13,GB,1603251304,88,54.55,-3.58,53.01,10.0
461,poum,1,NC,1603251180,67,-20.23,164.02,75.96,1.48
462,konstantinovka,100,RU,1603251304,42,49.62,127.98,59.38,22.44
463,ponta delgada,40,PT,1603251304,74,38.73,-28.27,59.5,21.99
464,breytovo,71,RU,1603251304,93,58.3,37.86,33.06,12.82
465,mayo,1,US,1603251305,100,38.89,-76.51,62.6,3.36
466,tuensang,28,IN,1603251306,69,26.28,94.83,77.7,0.07
467,viedma,78,AR,1603251024,70,-40.81,-63.0,48.34,10.02
468,lerwick,100,GB,1603251306,81,60.15,-1.15,48.2,28.86
469,katobu,49,ID,1603251306,41,-4.94,122.53,93.94,0.98
470,ankang,27,CN,1603251306,17,32.68,109.02,64.99,2.33
471,kijang,75,KR,1603251099,49,35.24,129.21,69.8,4.7
472,luwingu,100,ZM,1603251246,71,-10.26,29.93,68.9,3.6
473,weleri,40,ID,1603251306,78,-6.97,110.07,80.6,11.41
474,falmouth,100,GB,1603251306,93,50.15,-5.07,55.99,8.05
475,auki,81,SB,1603251307,74,-8.77,160.7,84.27,3.74
476,jacqueville,40,CI,1603251206,94,5.21,-4.41,78.8,6.93
477,hambantota,20,LK,1603251266,94,6.12,81.12,80.6,8.05
478,sorong,26,ID,1603251307,71,-0.88,131.25,83.62,6.22
479,hamina,100,FI,1603251307,86,60.57,27.2,30.99,8.05
480,bure,11,ET,1603251307,91,10.7,37.07,53.98,2.71
481,porto-vecchio,75,FR,1603251067,77,41.59,9.28,62.6,14.99
482,sur,0,OM,1603251156,50,22.57,59.53,81.39,6.76
483,kimbe,84,PG,1603251307,76,-5.55,150.14,84.06,2.19
484,port said,26,CD,1603251254,72,-7.03,29.76,73.0,3.67
485,puerto escondido,75,ES,1603251307,93,36.59,-6.23,66.2,12.75
486,sault sainte marie,98,FR,1603251308,45,44.09,5.41,62.6,8.05
487,villarrica,0,PY,1603251308,65,-25.75,-56.43,73.96,1.99
488,kotaparh,71,IN,1603251308,72,19.15,82.35,78.75,9.73
489,soe,43,ID,1603251308,32,-9.86,124.28,89.1,11.1
490,vila velha,99,PT,1603251308,95,42.03,-8.16,54.0,11.99
491,hay river,100,GB,1603251308,94,52.07,-3.13,57.0,3.91
492,denia,93,ES,1603251086,82,38.84,0.11,68.0,1.01
493,kapuskasing,90,CA,1603251308,92,49.42,-82.43,32.0,4.7
494,morondava,0,MG,1603251308,52,-20.28,44.28,75.29,5.5
495,taltal,16,CL,1603251309,70,-25.4,-70.48,57.72,3.02
496,teya,100,RU,1603251309,94,60.38,92.63,32.16,8.01
497,bubaque,39,GW,1603251309,82,11.28,-15.83,81.37,10.16
498,severnyy,75,RU,1603251309,88,50.68,36.55,32.0,2.24
499,mehamn,20,NO,1603251309,85,71.04,27.85,33.8,4.7
500,ambovombe,0,MG,1603251309,62,-25.17,46.08,75.04,2.8
501,fairbanks,90,US,1603251309,85,64.84,-147.72,23.0,0.4
502,aleksandrov gay,15,RU,1603251309,98,56.4,38.71,29.48,8.66
503,seymchan,36,RU,1603251309,91,62.88,152.43,21.61,4.61
504,pacific grove,100,US,1603251309,96,38.48,-90.74,59.0,7.76
505,beringovskiy,54,RU,1603251217,87,63.05,179.32,40.1,11.48
506,mumford,93,GH,1603251310,90,5.26,-0.76,76.24,9.17
507,gao,0,ML,1603251310,15,16.64,1.64,86.94,6.78
508,leningradskiy,37,RU,1603251175,85,69.38,178.42,34.81,8.41
509,tacuarembo,100,UY,1603251310,76,-31.73,-55.98,56.12,15.88
510,mushie,100,CD,1603251310,97,-3.02,16.9,71.15,4.74
511,yarmouth,90,US,1603251145,100,41.71,-70.23,64.99,3.36
512,sabang,19,ID,1603251310,73,5.89,95.32,83.71,13.87
513,baykit,100,RU,1603251310,94,61.67,96.37,28.17,2.75
514,bathsheba,40,BB,1603251310,83,13.22,-59.52,80.6,6.93
515,kombissiri,6,BF,1603251311,65,12.07,-1.34,78.8,9.17
516,moramanga,57,MG,1603251311,82,-18.93,48.2,63.81,3.06
517,odienne,20,CI,1603251311,89,9.51,-7.57,71.31,1.41
518,new glasgow,60,LR,1603251068,98,6.65,-10.59,72.46,2.08
519,petropavlovsk-kamchatskiy,0,RU,1603251234,36,53.05,158.65,44.6,17.9
520,sambava,100,MG,1603251311,72,-14.27,50.17,76.62,16.33
521,ormara,0,PK,1603251311,23,25.21,64.64,80.94,13.2
522,pilar,75,BR,1603251311,94,-9.6,-35.96,71.6,0.49
523,punta de bombon,100,PH,1603251311,65,8.99,125.34,87.82,2.01
524,gallup,1,US,1603251311,15,35.53,-108.74,50.0,3.36
525,marevo,100,RU,1603251311,93,57.31,32.08,33.39,4.32
526,ibarra,75,EC,1603251311,93,0.35,-78.12,55.4,1.12
527,agadir,37,MA,1603251312,73,30.42,-9.6,69.8,2.91
528,srikakulam,38,IN,1603251309,71,18.3,83.9,85.35,6.76
529,tornio,90,FI,1603251312,100,65.85,24.15,21.2,5.82
530,port hedland,26,CD,1603251313,72,-7.03,29.76,73.0,3.67
531,goderich,100,CA,1603251313,85,43.75,-81.72,46.0,20.2
